idCITES,speciesLabel,nomScientific,IUCNtaxonID,IUCNconservationstatusLabel,taxonCommonName
11123,Psammocora superficialis,,,,
11124,Cyornis ruckii,Cyornis ruckii,22709502,espèce en danger de disparition,Rück's Blue Flycatcher
11124,Cyornis ruckii,Cyornis ruckii,22709502,espèce en danger de disparition,Rueck's Blue-flycatcher
11124,Cyornis ruckii,Cyornis ruckii,22709502,espèce en danger de disparition,Rueck's Blue-Flycatcher
11124,Cyornis ruckii,Cyornis ruckii,22709502,espèce en danger de disparition,Rueck's Niltava
11127,Anomocora carinata,,,,
11130,Héliange royal,Heliangelus regalis,22687901,espèce en danger,Royal Sunangel
11131,Caryophyllia (Caryophyllia) polygona,,,,
11133,Stylaster tenisonwoodsi,,,,
11145,Callicebus medemi,,,,
11153,Antipathes ceylonensis,,,,
11166,Montipora cryptus,,,,
11169,Porites sillimaniani,,,,
11172,Polycyathus senegalensis,,,,
11174,Echinopora robusta,Echinopora robusta,133369,espèce vulnérable,Echinopora coral
11178,Acropora suharsonoi,Acropora suharsonoi,133254,espèce en danger,Staghorn coral
11181,Porites brighami,,,,
11183,Caryophyllia (Caryophyllia) corrugata,,,,
11194,Achatinella elegans,,,,
11198,Lepidotheca altispina,,,,
11200,Favia albidus,,,,
11201,Balanophyllia iwayamaensis,,,,
11203,Acropora brueggemanni,,,,
11209,Errina porifera,,,,
11213,Trachyboa gularis,,,,
11217,Oculina tenella,Oculina tenella,132961,données insuffisantes,Delicate Ivory Bush Coral
11225,Deltocyathus agassizii,,,,
11230,Oulophyllia bennettae,,,,
11232,Horastrea indica,Horastrea indica,133529,espèce vulnérable,Horastrea coral
11233,Lillipathes ritamariae,,,,
11234,Stylaster erubescens,,,,
11239,Varanus baritji,,,,
11241,Trochocyathus gardineri,,,,
11250,Tropidophis xanthogaster,,,,
11256,Abyssopathes lyra,,,,
11272,Montastrea salebrosa,Montastrea salebrosa,133162,espèce vulnérable,Montastrea coral
11274,Cyphastrea hexasepta,Cyphastrea hexasepta,133506,espèce vulnérable,Cyphastrea coral
11278,Stylophora wellsi,Stylophora wellsi,133251,espèce quasi menacée,Hood coral
11279,Paracyathus fulvus,,,,
11285,Cirrhipathes musculosa,,,,
11286,Montipora stellata,Montipora stellata,133259,préoccupation mineure,Montipora coral
11287,Stichopathes eustropha,,,,
13707,Dendrobium arcuatum,,,,
13708,Laelia sanguiloba,,,,
13712,Specklinia microphylla,,,,
13713,Trias pusilla,,,,
13714,Aloe ibitiensis,,,,
13715,Bulbophyllum botryophorum,,,,
13716,Prasophyllum firthii,,,,
13720,Alsophila rupestris,,,,
13723,Encyclia chiapasensis,,,,
13724,Catasetum semicirculatum,,,,
13725,Bulbophyllum evasum,,,,
13726,Lepanthes polytricha,,,,
13731,Zygostates aderaldoana,,,,
13732,Bulbophyllum ventriosum,,,,
13733,Habenaria loerzingii,,,,
13734,Malaxis ehrenbergii,,,,
13735,Bulbophyllum clemensiae,,,,
13737,Epidendrum nutantirhachis,,,,
13738,Chondrorhyncha anatona,,,,
13739,Bulbophyllum microtepalum,,,,
13740,Arachnis grandisepala,,,,
13743,Cyathea marginalis,,,,
13746,Epidendrum microcardium,,,,
13749,Laelia eyermaniana,,,,
13751,Hylaeorchis petiolaris,,,,
13752,Opuntia eichlamii,,,,
13754,Bulbophyllum ellipticifolium,,,,
13755,Alsophila verruculosa,,,,
13757,Maxillaria marmoliana,,,,
13758,Dryadella auriculigera,,,,
13764,Echinopsis pojoensis,,,,
13765,Bulbophyllum tenuipes,,,,
13767,Bulbophyllum inornatum,,,,
13768,Aerangis flexuosa,,,,
13771,Bulbophyllum cyclopense,,,,
13773,Alsophila longipes,,,,
13778,Encyclia auyantepuiensis,,,,
13780,Bulbophyllum cameronense,,,,
13782,Sphaeropteris robusta,,,,
13783,Jumellea jumelleana,,,,
13785,Cyathea werffii,,,,
13788,Sigmatostalix huebneri,,,,
13789,Bulbophyllum intricatum,,,,
13791,Stelis micrantha,,,,
13797,Holopogon smithianus,,,,
13798,Aloe branddraaiensis,,,,
13801,Pleurothallis tripterantha,,,,
13803,Beloglottis ecallosa,,,,
13804,Cyathea coriacea,,,,
13808,Bulbophyllum flammuliferum,,,,
13813,Pleurothallis aspergillum,,,,
13814,Alsophila hotteana,,,,
13815,Pseuderia ramosa,,,,
13817,Dendrobium rindjaniense,,,,
13818,Tridactyle nalaensis,,,,
13819,Habenaria zothecina,,,,
13820,Alsophila vestita,,,,
13822,Cadetia wariana,,,,
13828,Angraecum urschianum,,,,
13829,Trichoceros dombeyi,,,,
13831,Bulbophyllum muscarirubrum,,,,
13832,Cyathea hemiepiphytica,,,,
13836,Euphorbia lydenburgensis,,,,
13838,Masdevallia anisomorpha,,,,
13843,Bulbophyllum amblyoglossum,,,,
13847,Disa vasselotii,,,,
13849,Sarcochilus uniflorus,,,,
13851,Bulbophyllum abbreviatum,,,,
13852,Osmoglossum dubium,,,,
13853,Bulbophyllum fonsflorum,,,,
13854,Disa venosa,,,,
13855,Bulbophyllum crispatisepalum,,,,
13856,Maxillaria gentryi,,,,
13857,Opuntia limitata,,,,
13859,Ceratostylis puncticulata,,,,
13861,Alsophila oosora,,,,
13862,Bulbophyllum ischnopus,,,,
13863,Angraecum andasibeense,,,,
13864,Maxillaria appendiculoides,,,,
13865,Physogyne gonzalezii,,,,
13869,Catasetum transversicallosum,,,,
13871,Pleurothallis leucantha,,,,
13874,Chondrorhyncha bicolor,,,,
13875,Bulbophyllum obliquum,,,,
13877,Aloe aageodonta,,,,
13878,Echinopsis caineana,,,,
13879,Bulbophyllum collinum,,,,
13880,Opuntia hondurensis,,,,
13881,Masdevallia lilacina,,,,
13884,Epidendrum lueri,,,,
13890,Aloe ruspoliana,,,,
13891,Bulbophyllum falcipetalum,,,,
13892,Agrostophyllum longifolium,,,,
13894,Coelogyne glandulosa,,,,
13895,Masdevallia portillae,,,,
13896,Liparis hirtzii,,,,
13898,Elleanthus arpophyllostachys,,,,
13899,Coelogyne buennemeyeri,,,,
13900,Bulbophyllum umbraticola,,,,
13902,Lepanthes stalactites,,,,
13904,Hexalectris parviflora,,,,
