idCITES,wdItem,scientificName,IUCNtaxonID,IUCNconservationstatusLabel_en,taxonCommonNames
10956,http://www.wikidata.org/entity/Q20915226,Bunopithecus hoolock,,,
10965,http://www.wikidata.org/entity/Q3934701,Porites iwayamaensis,,,
10969,http://www.wikidata.org/entity/Q21964354,Pitta gurneyi,,,Gurney's Pitta
10970,http://www.wikidata.org/entity/Q3943807,Balanophyllia serrata,,,
10974,http://www.wikidata.org/entity/Q3941958,Montipora floweri,133186,least concern,
10981,http://www.wikidata.org/entity/Q4015926,Millepora striata,133466,endangered species,Fire coral
10996,http://www.wikidata.org/entity/Q3950335,Halomitra meierae,,,
11002,http://www.wikidata.org/entity/Q2997193,Cordylus oelofseni,110159854,near threatened,Oelofsen's girdled lizard
11007,http://www.wikidata.org/entity/Q2712316,Naja sagittifera,,,
11008,http://www.wikidata.org/entity/Q3944374,Favia helianthoides,133601,near threatened,
11011,http://www.wikidata.org/entity/Q3938968,Astrangia atrata,,,
11012,http://www.wikidata.org/entity/Q13308979,Alveopora daedalea,133093,vulnerable,Alveopora coral
11013,http://www.wikidata.org/entity/Q3955655,Favites paraflexuosa,133650,near threatened,
11015,http://www.wikidata.org/entity/Q3932401,Javania pseudoalabastra,,,
11019,http://www.wikidata.org/entity/Q3944286,Porites deformis,133555,near threatened,Stony coral
11021,http://www.wikidata.org/entity/Q3948816,Coscinaraea monile,133323,least concern,Wrinkle coral
11022,http://www.wikidata.org/entity/Q5296608,Coscinaraea marshae,133163,least concern,
11024,http://www.wikidata.org/entity/Q2926131,Brookesia betschi,172912,near threatened,Marojejy Leaf Chameleon
11029,http://www.wikidata.org/entity/Q3951441,Culicia australiensis,,,
11032,http://www.wikidata.org/entity/Q3953517,Crispatotrochus squiresi,,,
11039,http://www.wikidata.org/entity/Q3932289,Favia maxima,132878,near threatened,Knob coral
11045,http://www.wikidata.org/entity/Q936424,Haliaeetus sanfordi,22695105,vulnerable,Forest Fish Eagle ; Sanford's Fish-Eagle ; Sanford's Sea Eagle ; Sanford's Sea-eagle ; Solomon Fish-eagle ; Pygargue de Sanford
11050,http://www.wikidata.org/entity/Q1206278,Galago zanzibaricus,,,
11051,http://www.wikidata.org/entity/Q27074745,Pseudoscops clamator,,,Striped Owl ; Hibou strié
11052,http://www.wikidata.org/entity/Q3944983,Trochocyathus burchae,,,
11056,http://www.wikidata.org/entity/Q42576202,Trioceros affinis,203820,least concern,
11058,http://www.wikidata.org/entity/Q25651766,Leucopternis lacernulatus,,,White-necked hawk
11060,http://www.wikidata.org/entity/Q3939144,Polycyathus palifera,,,
11076,http://www.wikidata.org/entity/Q3953052,Alveopora verrilliana,133156,vulnerable,Alveopora coral
11077,http://www.wikidata.org/entity/Q2212526,Distichopora nitida,,,
11080,http://www.wikidata.org/entity/Q1265989,Ninox ios,22728610,vulnerable,Cinnabar boobook ; Cinnabar Boobook ; Cinnabar Hawk-Owl ; Ninoxe rouilleuse
11085,http://www.wikidata.org/entity/Q4010349,Antipathes virgata,,,
11086,http://www.wikidata.org/entity/Q25665001,Carduelis yarrellii,,,Yellow-faced siskin ; Yellow-faced Siskin
11091,http://www.wikidata.org/entity/Q3942747,Deltocyathus philippinensis,,,
11092,http://www.wikidata.org/entity/Q3938346,Siderastrea savignyana,133590,least concern,African pillow coral
11093,http://www.wikidata.org/entity/Q2579253,Crypthelia medioatlantica,,,
11095,http://www.wikidata.org/entity/Q3229210,Leiopython biakensis,,,
11097,http://www.wikidata.org/entity/Q3939436,Flabellum gardineri,,,
11105,http://www.wikidata.org/entity/Q3942154,Platygyra yaeyamaensis,133067,vulnerable,Brain coral
11106,http://www.wikidata.org/entity/Q3933749,Madracis asanoi,132926,data deficient,
11107,http://www.wikidata.org/entity/Q3936662,Notocyathus conicus,,,
11108,http://www.wikidata.org/entity/Q933831,Pyrilia vulturina,22686145,vulnerable,Vulturine Parrot ; Caïque vautourin
11109,http://www.wikidata.org/entity/Q3952007,Hydnophora grandis,132960,least concern,
11111,http://www.wikidata.org/entity/Q301908,Hippocampus spinosissimus,10084,vulnerable,Hedgehog seahorse ; Hedgehog Seahorse
11114,http://www.wikidata.org/entity/Q2326288,Errina chathamensis,,,
